Nom de la gare;Nom de la gare;Code UIC;Code postal;Segmentation DRG;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015;Code Postal
Cramoisy;Le Coudray-Montceaux;87681635;91830;C;72182;72182;57852;57852;67053;67053;87387;87387;89144;89144;91802;91802;92545;92545;93102;93102;91
Crécy-la-Chapelle;Le Mée-sur-Seine;87682179;77350;B;1970800;1970800;2106785;2106785;1171656;1171656;2386412;2386412;2428170;2428170;2458895;2458895;2449483;2449483;2431688;2431688;77
Crépieux la Pape;Le Raincy - Villemomble - Montfermeil;87113472;93340;B;6505496;6505496;5784022;5784022;4111461;4111461;9515448;9515448;9505714;9505714;9472141;9472141;9284783;9284783;9054018;9054018;93
Crest;Les Pavillons-sous-Bois;87113852;93320;B;1998918;1998918;1601698;1601698;2488926;2488926;1701182;1701182;1683059;1683059;1673494;1673494;1629471;1629471;1580346;1580346;93
Dambach-la-Ville;Les Portes de Saint-Cyr T13;87710921;78210;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78
Damblain;Lieusaint - Moissy;87682153;77127;B;4842725;4842725;4406661;4406661;2918963;2918963;5862953;5862953;5887369;5887369;5928369;5928369;5859154;5859154;5757090;5757090;77
Dangé-Saint-Romain;Lisière Pereire T13;87733683;78100;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78
Danjoutin;Louvres;87276253;95380;B;1860250;1860250;3739057;3739057;919807;919807;2253078;2253078;2235303;2235303;2232729;2232729;2183957;2183957;2127635;2127635;95
Daours;Mantes Station;87381590;78200;B;1102053;1102053;913016;913016;469967;469967;883928;883928;899086;899086;921694;921694;922332;922332;921561;921561;78
Dax;Marles-en-Brie;87116228;77610;B;347570;347570;336427;336427;171958;171958;421062;421062;403995;403995;392981;392981;373661;373661;354368;354368;77
Deuil - Montmagny;Marolles-en-Hurepoix;87545186;91630;B;1190599;1190599;1357659;1357659;650678;650678;1441406;1441406;1404670;1404670;1389667;1389667;1341273;1341273;1287884;1287884;91
Deûlémont;Massy Europe;87725465;91300;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91
Diarville;Meudon;87393108;92190;B;917576;917576;842580;842580;510325;510325;1111888;1111888;1163411;1163411;1215518;1215518;1248717;1248717;1275747;1275747;92
Die;Meulan - Hardricourt;87381830;78250;B;734198;734198;608161;608161;279314;279314;544247;544247;515702;515702;488974;488974;452944;452944;464652;464652;78
Diemeringen;Montfort-l'Amaury - Méré;87393892;78490;B;530991;530991;386637;386637;214672;214672;644638;644638;647541;647541;658762;658762;652624;652624;645654;645654;78
Dieupentale;Mormant;87116087;77720;B;376082;376082;392896;392896;257580;257580;455346;455346;447454;447454;444280;444280;431778;431778;417233;417233;77
Dol-de-Bretagne;Musée d'Orsay;87547307;75007;B;3914727;3914727;3232109;3232109;2070490;2070490;4739380;4739380;4970262;4970262;5213150;5213150;5371774;5371774;5514887;5514887;75
Dole;Neuilly - Porte Maillot;87381020;75017;B;3875725;3875725;2059764;2059764;2230261;2230261;4692161;4692161;4984005;4984005;5342068;5342068;5600997;5600997;5844164;5844164;75
Don - Sainghin;Neuville Université;87334482;95000;B;3268443;3268443;2006515;2006515;1439226;1439226;2858861;2858861;2781923;2781923;2746573;2746573;2663428;2663428;2580329;2580329;95
Dorlisheim;Petit Jouy - Les Loges;87393504;78350;B;151872;151872;67702;67702;66070;66070;184199;184199;184879;184879;187858;187858;186152;186152;183539;183539;78
Dormans;Petit Vaux;87393652;91360;B;315634;315634;202745;202745;138206;138206;382123;382123;381720;381720;384398;384398;378563;378563;371331;371331;91
Dourdan;Pierrelaye;87276097;95480;B;1263736;1263736;1302897;1302897;853385;853385;1309897;1309897;1304587;1304587;1276008;1276008;1243565;1243565;1207581;1207581;95
Douzillac;Presles Courcelles;87276501;95590;B;297133;297133;286464;286464;141462;141462;334990;334990;340453;340453;338305;338305;323731;323731;308675;308675;95
Ebblinghem;Rungis La Fraternelle;87546291;94150;B;637935;637935;381602;381602;325738;325738;772844;772844;785411;785411;808269;808269;813669;813669;816513;816513;94
Enghien-les-Bains;Saint-Chéron;87545509;91530;B;534294;534294;520635;520635;303049;303049;646845;646845;635240;635240;629270;629270;610113;610113;588563;588563;91
Épanvilliers;Saint-Denis;87271015;93200;B;26902902;26902902;23803027;23803027;16128368;16128368;32141497;32141497;32855279;32855279;33275543;33275543;32732352;32732352;32140562;32140562;93
Épernay;Saint-Mammès;87682294;77670;B;303399;303399;322236;322236;205853;205853;367310;367310;359224;359224;353693;353693;340771;340771;327578;327578;77
Épône - Mézières;Saint-Ouen-l'Aumône;87276105;95310;B;1826988;1826988;1588019;1588019;815623;815623;1981424;1981424;1968878;1968878;1946678;1946678;1887874;1887874;1828723;1828723;95
Éragny - Neuville;Saint-Ouen-l'Aumône Quartier de l'Église;87381426;95310;B;611246;611246;586174;586174;278841;278841;589690;589690;553932;553932;520876;520876;480297;480297;482195;482195;95
Escauduvres;Saint-Quentin en Yvelines - Montigny-le-Bretonneux;87393843;78180;B;9601190;9601190;5594284;5594284;4872956;4872956;11640712;11640712;12196000;12196000;12912173;12912173;13381659;13381659;13789333;13789333;78
Esquelbecq;Sannois;87276188;95110;B;3857638;3857638;3581520;3581520;1997420;1997420;3682623;3682623;3660733;3660733;3523862;3523862;3247072;3247072;3270836;3270836;95
Étain;Sermaise;87545517;91530;C;108489;108489;90415;90415;60616;60616;131344;131344;128659;128659;126376;126376;121816;121816;116851;116851;91
Étampes;Sevran - Livry;87271429;93270;B;4784929;4784929;3906248;3906248;2632823;2632823;5792675;5792675;5902128;5902128;5982229;5982229;5973397;5973397;5932168;5932168;93
Eu;Suresnes Mont Valérien;87382374;92150;B;3503155;3503155;3048787;3048787;1546667;1546667;3463282;3463282;3120349;3120349;2847025;2847025;2544442;2544442;2559923;2559923;92
Évreux Normandie;Thun le Paradis;87381822;78250;B;471681;471681;432673;432673;198768;198768;391728;391728;377907;377907;366370;366370;348143;348143;345491;345491;78
Farébersviller;Tournan-en-Brie;87116210;77220;B;2096889;2096889;1527630;1527630;961576;961576;1971494;1971494;2017749;2017749;2082036;2082036;2107021;2107021;2128614;2128614;77
Fellering;Trilport;87116491;77470;B;990660;990660;1099328;1099328;229698;229698;1199192;1199192;1208595;1208595;1227870;1227870;1222022;1222022;1211959;1211959;77
Feuquerolles;Us;87381178;95450;B;99723;99723;85308;85308;53822;53822;122476;122476;124416;124416;129068;129068;129962;129962;121370;121370;95
Figeac;Valmondois;87276535;95430;B;917051;917051;891151;891151;499320;499320;1035712;1035712;976799;976799;942389;942389;924968;924968;907771;907771;95
Fleurieux-sur-l'Arbresle;Vert Galant;87271437;93420;B;6389699;6389699;5453237;5453237;3831144;3831144;7736030;7736030;7925679;7925679;8132589;8132589;8195679;8195679;8215190;8215190;93
Fos-sur-Mer;Villaines-sous-Bois;87272021;95570;C;97742;97742;86132;86132;28284;28284;94805;94805;85903;85903;89237;89237;80512;80512;72448;72448;95
Foug;Villeneuve-Saint-Georges;87681825;94190;B;14780961;14780961;14720746;14720746;9348272;9348272;17889110;17889110;18167340;18167340;18338319;18338319;18187384;18187384;18012745;18012745;94
Fougeré;Villiers Montbarbin;87116749;77580;C;53041;53041;58772;58772;26840;26840;64214;64214;61424;61424;58900;58900;55391;55391;51920;51920;77
Fouilloy;Viroflay Rive Gauche;87393215;78220;B;4651553;4651553;3373069;3373069;2634272;2634272;5633570;5633570;5330072;5330072;5067446;5067446;4726246;4726246;4389157;4389157;78
Franconville - Le Plessis-Bouchard;Asnières-sur-Seine;87381137;92600;B;17579037;17579037;15175351;15175351;8693940;8693940;16996318;16996318;16317005;16317005;15666171;15666171;15431212;15431212;13008898;13008898;92
Frasne;Bailly T13;87710780;78870;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78
Frénouville - Cagny;Bécon les Bruyères;87382002;92400;B;10762906;10762906;8732029;8732029;4409499;4409499;10269355;10269355;10508412;10508412;10854104;10854104;11036425;11036425;11668320;11668320;92
Fresnoy-le-Grand;Belloy - Saint-Martin;87276550;95270;B;176362;176362;160085;160085;70829;70829;182798;182798;188233;188233;182248;182248;178318;178318;173862;173862;95
Fréteval - Morée;Bessancourt;87276642;95550;B;796219;796219;693514;693514;340303;340303;737892;737892;707523;707523;700747;700747;668488;668488;635190;635190;95
Fretin;Bonnières-sur-Seine;87415893;78270;B;771930;771930;619227;619227;278424;278424;636589;636589;665715;665715;713057;713057;749898;749898;789125;789125;78
Froncles;Boussy-Saint-Antoine;87682138;91800;B;2880374;2880374;2906672;2906672;1921990;1921990;3487143;3487143;3585833;3585833;3677684;3677684;3712941;3712941;3725311;3725311;91
Frontenex;Changis - Saint-Jean;87116509;77660;B;250409;250409;209345;209345;116332;116332;302651;302651;308219;308219;317021;317021;318892;318892;318992;318992;77
Frynaudour;Choisy-le-Roi;87545285;94600;B;10936239;10936239;8997300;8997300;6390626;6390626;13240339;13240339;13621599;13621599;14029876;14029876;14178267;14178267;14267343;14267343;94
Gallargues-le-Montueux;Couilly - Saint-Germain - Quincy;87116731;77860;B;84535;84535;110500;110500;9391;9391;102343;102343;103334;103334;104909;104909;104449;104449;103643;103643;77
Garches - Marnes-la-Coquette;Créteil Pompadour;87608802;94600;B;6412258;6412258;6072149;6072149;1904409;1904409;7763379;7763379;7588995;7588995;7375710;7375710;7064928;7064928;6748141;6748141;94
Gare routière de Forges d'Abel;Dugny - La Courneuve T11;87697342;93120;B;1220226;1220226;977745;977745;220312;220312;464595;464595;474457;474457;240459;240459;0;0;0;0;93
Gauriaguet;Épinay - Villetaneuse;87271122;93800;B;15327902;15327902;13345015;13345015;5582345;5582345;12886698;12886698;12778657;12778657;11399541;11399541;10968351;10968351;11527615;11527615;93
Gemeaux;Ermont - Eaubonne;87276055;95120;B;21728297;21728297;20302286;20302286;12240896;12240896;22636877;22636877;23060542;23060542;22292293;22292293;21209815;21209815;21275454;21275454;95
Gerzat;Essonnes Robinson;87681601;91100;B;232520;232520;207462;207462;101432;101432;281500;281500;301824;301824;324412;324412;342324;342324;360066;360066;91
Gonfaron;Évry Val de Seine;87681361;91000;B;755215;755215;587153;587153;416528;416528;914295;914295;952220;952220;996434;996434;1020954;1020954;1045105;1045105;91
Gourdon;Faremoutiers - Pommeuse;87116277;77515;B;222979;222979;225734;225734;50530;50530;269998;269998;270856;270856;273058;273058;269543;269543;265345;265345;77
Gragnague;Fontainebleau - Avon;87682211;77210;B;3194698;3194698;5827647;5827647;1999331;1999331;3867663;3867663;3985604;3985604;4105860;4105860;4145407;4145407;4182635;4182635;77
Granville;Frépillon;87276659;95740;B;363719;363719;316578;316578;92066;92066;353741;353741;359839;359839;349908;349908;332173;332173;314068;314068;95
Grenoble Universités - Gières;Garancières - La Queue;87393439;78890;B;273442;273442;266885;266885;147010;147010;328859;328859;326533;326533;330655;330655;325044;325044;321234;321234;78
Guérard - La Celle-sur-Morin;Gargenville;87381566;78440;B;551656;551656;465970;465970;186439;186439;355165;355165;346907;346907;339962;339962;327223;327223;323122;323122;78
Guéret;Gazeran;87393348;78125;B;237147;237147;190279;190279;119283;119283;287054;287054;284182;284182;285161;285161;278919;278919;271971;271971;78
Guéthary;Gennevilliers;87271205;92230;B;1672742;1672742;1206798;1206798;563830;563830;2025274;2025274;2090962;2090962;2169888;2169888;2207587;2207587;2234373;2234373;92
Guillerval;Goussainville;87276246;95190;B;4313975;4313975;2004993;2004993;2643838;2643838;5227952;5227952;5196033;5196033;5171933;5171933;5045910;5045910;4912463;4912463;95
Guingamp;Groslay;87276360;95410;B;1461451;1461451;1315983;1315983;537702;537702;1583612;1583612;1612611;1612611;1621062;1621062;1599215;1599215;1569486;1569486;95
Haguenau;Haussmann Saint-Lazare;87281899;75009;B;32617013;32617013;29676067;29676067;10027494;10027494;47687285;47687285;47907489;47907489;48184682;48184682;47606238;47606238;46771387;46771387;75
Halsou - Larressore;Herblay;87381889;95220;B;3356330;3356330;2982632;2982632;1702962;1702962;3341643;3341643;3353417;3353417;3380147;3380147;3342904;3342904;3221262;3221262;95
Ham;Issy Val de Seine;87393306;92130;B;4807552;4807552;2531839;2531839;2303136;2303136;5823421;5823421;5933850;5933850;6140140;6140140;6198775;6198775;6228280;6228280;92
Hatrize;Juvisy-sur-Orge;87545244;91260;B;33271111;33271111;41887674;41887674;21871129;21871129;40222510;40222510;43157732;43157732;42199755;42199755;40463299;40463299;38614086;38614086;91
Hazebrouck;La Défense;87382218;92800;B;35649320;35649320;24737930;24737930;6688269;6688269;30264172;30264172;29752335;29752335;29470800;29470800;28638151;28638151;28392626;28392626;92
Heiligenberg - Mollkirch;La Garenne-Colombes;87386003;92250;B;4891934;4891934;3919745;3919745;1963825;1963825;4101287;4101287;4106443;4106443;4128855;4128855;4073202;4073202;3995177;3995177;92
Hennebont;Le Chénay Gagny;87113522;93220;B;2779109;2779109;2851761;2851761;1562549;1562549;3268600;3268600;3277376;3277376;3294408;3294408;3248342;3248342;3187642;3187642;93
Herbitzheim;Le Plessis Chenet;87681627;91830;C;33260;33260;36744;36744;10114;10114;40266;40266;41814;41814;43875;43875;45020;45020;45980;45980;91
Héricy;Le Stade;87381095;92700;B;2801735;2801735;2248596;2248596;1211425;1211425;2477161;2477161;2212788;2212788;2307206;2307206;2430476;2430476;2537738;2537738;92
Houdemont;Les Ardoines;87492108;94400;B;2139277;2139277;1871348;1871348;1011006;1011006;2591321;2591321;2586453;2586453;2578806;2578806;2525837;2525837;2462788;2462788;94
Igney;Les Boullereaux Champigny;87113779;94500;B;2344609;2344609;1915290;1915290;1240481;1240481;2828851;2828851;2834780;2834780;2831014;2831014;2779423;2779423;2717615;2717615;94
Ille-sur-Têt;Les Coquetiers;87113845;93250;B;1181755;1181755;946919;946919;1618216;1618216;1049625;1049625;1064397;1064397;1072490;1072490;1063744;1063744;1050903;1050903;93
Illfurth;Les Essarts-le-Roi;87393280;78690;B;652253;652253;567670;567670;369081;369081;789251;789251;820436;820436;856897;856897;879511;879511;896622;896622;78
Imphy;Les Yvris Noisy-le-Grand;87113803;93160;B;755412;755412;592431;592431;423167;423167;933786;933786;926641;926641;929718;929718;912202;912202;889783;889783;93
Isbergues;L'Étang-la-Ville;87382473;78620;B;543856;543856;491321;491321;229738;229738;523719;523719;518147;518147;516572;516572;503902;503902;487170;487170;78
Issé;L'Isle-Adam - Parmain;87276527;95290;B;938074;938074;855329;855329;462888;462888;927670;927670;901306;901306;892500;892500;871379;871379;849272;849272;95
Issou - Porcheville;Livry-sur-Seine;87682401;77000;C;92740;92740;101959;101959;51652;51652;112341;112341;107957;107957;104859;104859;98867;98867;93577;93577;77
Istres;Longjumeau;87393611;91160;B;396645;396645;317888;317888;136777;136777;480402;480402;504031;504031;532378;532378;552047;552047;568054;568054;91
Itxassou;Melun;87682005;77000;B;13065160;13065160;13114808;13114808;7704662;7704662;15787310;15787310;15706181;15706181;15647375;15647375;15301762;15301762;14897282;14897282;77
Jaux;Monnerville;87545111;91930;C;21031;21031;18798;18798;11274;11274;25461;25461;24487;24487;23991;23991;22958;22958;21882;21882;91
Joinville;Montereau;87682302;77130;B;2542109;2542109;3691637;3691637;1832996;1832996;3077612;3077612;3026973;3026973;2986171;2986171;2886952;2886952;2782996;2782996;77
Jouy;Moret - Veneux-les-Sablons;87682278;77250;B;1186265;1186265;1502530;1502530;906114;906114;1436155;1436155;1504220;1504220;1580699;1580699;1626767;1626767;1669911;1669911;77
Jouy-en-Josas;Moulin Galant;87681403;91100;B;523046;523046;459871;459871;220315;220315;633274;633274;685764;685764;747525;747525;798564;798564;849126;849126;91
Ker Lann;Nangis;87116095;77370;B;883754;883754;890213;890213;474881;474881;1070109;1070109;1052937;1052937;1044995;1044995;1013938;1013938;979933;979933;77
Kilstett;Nanteuil - Saâcy;87116558;77730;B;536532;536532;549659;549659;329888;329888;675245;675245;692771;692771;728946;728946;730459;730459;727008;727008;77
Kurtzenhouse;Nointel - Mours;87276758;95590;B;377139;377139;351212;351212;207757;207757;430630;430630;421212;421212;408289;408289;403564;403564;397988;397988;95
La Bâthie;Orly Ville;87546200;94310;B;1488640;1488640;1227173;1227173;912297;912297;1802642;1802642;1825457;1825457;1846200;1846200;1835153;1835153;1814964;1814964;94
La Baule-Escoublac;Parc des Expositions;87271486;93420;B;2304239;2304239;1530324;1530324;1010255;1010255;2790979;2790979;2749960;2749960;2734326;2734326;2661353;2661353;2582285;2582285;93
La Borne Blanche;Paris Bercy Bourgogne - Pays d'Auvergne;87686667;75012;A;4764857;4945344;3347427;3474224;2493266;2587708;4318464;4482042;3983108;4133983;4003278;4154918;3702383;3842624;3823448;3968276;75
La Bourboule;Paris Est;87113001;75010;A;36774394;46423121;27758686;35041906;21580625;27242868;41240098;52060520;39301206;49612908;38455354;48545125;35820125;45218475;34919689;44081786;75
La Cave;Paris Gare de Lyon;87686006;75012;A;102024783;129335965;84120158;105005290;55824824;67873723;112644337;140121852;111226947;137769853;113962625;141761340;111664289;138682324;111506043;138936295;75
La Chaussée-Saint-Victor;Persan - Beaumont;87276469;95340;B;3807121;3807121;3586931;3586931;1989555;1989555;4112008;4112008;4071799;4071799;3932743;3932743;3707776;3707776;3487981;3487981;95
La Courneuve - Aubervilliers;Remise à Jorelle;87988709;93140;B;623710;623710;499768;499768;1045054;1045054;485311;485311;532143;532143;580626;580626;623148;623148;666150;666150;93
La Crèche;Rosa Parks;87654798;75019;B;11987483;11987483;5937856;5937856;2865667;2865667;9038087;9038087;9029393;9029393;9065994;9065994;8923180;8923180;0;0;75
La Croix de Méan;Sainte-Geneviève-des-Bois;87545210;91700;B;3315717;3315717;2657248;2657248;1757976;1757976;4014188;4014188;4057666;4057666;4118094;4118094;4093512;4093512;4054279;4054279;91
La Douzillère;Saint-Gratien;87276170;95210;B;2195928;2195928;1718129;1718129;1243189;1243189;2658478;2658478;2752077;2752077;2857361;2857361;2909515;2909515;2948463;2948463;95
La Ferté-Milon;Saint-Ouen-l'Aumône Liesse;87337980;95310;B;1906849;1906849;1776846;1776846;1028954;1028954;1996206;1996206;1979019;1979019;1838982;1838982;1715495;1715495;1593032;1593032;95
La Fouillouse;Sartrouville;87386417;78500;B;10048491;10048491;8073117;8073117;5493207;5493207;11625842;11625842;11680197;11680197;11795222;11795222;11687774;11687774;11523782;11523782;78
La Grande-Paroisse;Tacoignières - Richebourg;87393454;78910;B;162807;162807;159766;159766;93659;93659;195739;195739;193939;193939;195215;195215;190289;190289;186160;186160;78
La Guierche;Thomery;87682252;77300;B;167462;167462;248679;248679;106635;106635;202646;202646;185181;185181;170995;170995;153722;153722;138257;138257;77
La Hume;Vauboyen;87393538;78350;B;194880;194880;257072;257072;144422;144422;236149;236149;231041;231041;228105;228105;220594;220594;212014;212014;78
La Jarrie;Versailles Chantiers;87393009;78000;B;18934500;18934500;15922909;15922909;12376593;12376593;22909416;22909416;23336771;23336771;23974181;23974181;24132107;24132107;24191310;24191310;78
La Joux;Vigneux-sur-Seine;87681304;91270;B;5334560;5334560;4745315;4745315;3080249;3080249;6458442;6458442;6554135;6554135;6647451;6647451;6625906;6625906;6569971;6569971;91
La Loupe;Villennes-sur-Seine;87386649;78670;B;975080;975080;781301;781301;285276;285276;541158;541158;587565;587565;639197;639197;682829;682829;726073;726073;78
La Madeleine;Villiers-le-Bel - Gonesse - Arnouville;87276220;95400;B;9912578;9912578;7945658;7945658;3904492;3904492;12001779;12001779;12130982;12130982;12269112;12269112;12184681;12184681;12047909;12047909;95
La Porcherie;Ablon-sur-Seine;87545269;94480;B;1203692;1203692;1594567;1594567;660309;660309;1457253;1457253;1462108;1462108;1471462;1471462;1453063;1453063;1427319;1427319;94
La Rivière de Mansac;Achères Grand Cormier;87386052;78100;B;177092;177092;209673;209673;126513;126513;221003;221003;228032;228032;235698;235698;238687;238687;241046;241046;78
La Roche-sur-Yon;Allée Royale T13;87710913;78210;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78
La Tour-du-Pin;Angerville;87543090;91670;B;151343;151343;130031;130031;75617;75617;183224;183224;175547;175547;170954;170954;162250;162250;153525;153525;91
La Ville-Dieu-du-Temple;Argenteuil;87381848;95100;B;16033835;16033835;14527144;14527144;8206484;8206484;16219640;16219640;16094786;16094786;15608674;15608674;15388969;15388969;14929217;14929217;95
La Wantzenau;Bagneaux-sur-Loing;87684191;77167;C;24011;24011;28521;28521;13759;13759;29663;29663;57849;57849;114246;114246;223786;223786;439600;439600;77
Labarthe-Inard;Bièvres;87393546;91570;B;352463;352463;280066;280066;172854;172854;426162;426162;444063;444063;467275;467275;481167;481167;493181;493181;91
Labège Village;Boissy-l'Aillerie;87381152;95650;B;255631;255631;237004;237004;88484;88484;207727;207727;221223;221223;239132;239132;251490;251490;233191;233191;95
Labergement-Sainte-Marie;Bondy;87113407;93140;B;14605023;14605023;11082849;11082849;7412905;7412905;12574385;12574385;12799616;12799616;13024968;13024968;13017323;13017323;12955985;12955985;93
Labouheyre;Boulainvilliers;87543181;75016;B;2585668;2585668;1151507;1151507;723394;723394;3130349;3130349;3290898;3290898;3484634;3484634;3615337;3615337;3728741;3728741;75
Laguépie;Bréval;87381624;78980;B;308723;308723;247376;247376;127358;127358;324134;324134;339493;339493;361155;361155;375428;375428;387979;387979;78
Lalinde;Cergy Saint-Christophe;87382499;95800;B;6961854;6961854;7818214;7818214;5544432;5544432;7560627;7560627;7359555;7359555;7125540;7125540;6806298;6806298;6453027;6453027;95
Lamagistère;Chamarande;87545152;91730;B;146618;146618;141799;141799;89603;89603;177504;177504;188475;188475;201279;201279;210255;210255;220105;220105;91
Lamotte-Beuvron;Champ de Courses d'Enghien;87276030;95230;B;1974639;1974639;1828450;1828450;943277;943277;2096797;2096797;2066509;2066509;2072979;2072979;2155045;2155045;2229912;2229912;95
Lancey;Chanteloup-les-Vignes;87381475;78570;B;948491;948491;826353;826353;331726;331726;719119;719119;757040;757040;796777;796777;823290;823290;838046;838046;78
Landrecies;Chaponval;87276162;95430;C;47276;47276;35917;35917;24510;24510;55733;55733;55078;55078;54127;54127;53547;53547;53160;53160;95
Landry;Chartrettes;87682419;77590;C;44116;44116;58961;58961;24561;24561;53428;53428;51957;51957;50979;50979;48843;48843;46822;46822;77
Langres;Chaville - Vélizy;87393173;92370;B;1243912;1243912;817000;817000;538929;538929;1505780;1505780;1623827;1623827;1754176;1754176;1860522;1860522;1963899;1963899;92
Lardy;Chelles - Gournay;87116111;77500;B;9379970;9379970;7258472;7258472;5503458;5503458;10874698;10874698;10902348;10902348;10947125;10947125;10797607;10797607;10591778;10591778;77
Lathus-Saint-Rémy;Chemin d'Antony;87546317;92160;B;330557;330557;218101;218101;187523;187523;400187;400187;394028;394028;391171;391171;380440;380440;367722;367722;92
Latour-de-Carol - Enveitg;Clamart;87391565;92140;B;1725465;1725465;1449316;1449316;931145;931145;2089944;2089944;2298488;2298488;2528160;2528160;2734253;2734253;2936829;2936829;92
Laveline-devant-Bruyères;Combs-la-Ville - Quincy;87682146;77380;B;3181458;3181458;3058556;3058556;1834253;1834253;3851637;3851637;4008207;4008207;4197319;4197319;4308161;4308161;4396308;4396308;77
Le Bousquet-d'Orb;Compans;87272047;77290;C;35359;35359;33426;33426;19210;19210;38205;38205;40000;40000;39917;39917;41082;41082;40731;40731;77
Le Cateau-Cambrésis;Courbevoie;87382200;92400;B;4387299;4387299;3799683;3799683;1951449;1951449;4250102;4250102;4177376;4177376;4109605;4109605;3970658;3970658;4048997;4048997;92
Le Creusot;Drancy;87271403;93700;B;7412637;7412637;7692125;7692125;3993399;3993399;8976601;8976601;8782317;8782317;8585390;8585390;8248559;8248559;7883390;7883390;93
Le Creusot - Montceau-les-Mines - Montchanin TGV;Fontenay-le-Fleury;87393405;78330;B;2614566;2614566;2142184;2142184;1461947;1461947;3165988;3165988;2800672;2800672;2498898;2498898;2181172;2181172;1894635;1894635;78
Le Croisic;Gagny;87113514;93220;B;5305596;5305596;3268203;3268203;2469447;2469447;5094411;5094411;5155124;5155124;5225983;5225983;5196181;5196181;5145520;5145520;93
Le Fauga;Garges - Sarcelles;87276196;95140;B;14813702;14813702;12826465;12826465;4696178;4696178;17937343;17937343;17968213;17968213;17941453;17941453;17577233;17577233;17191818;17191818;95
Le Grand-Lemps;Gravigny Balizy;87393645;91160;B;404265;404265;156103;156103;104735;104735;489424;489424;507730;507730;530728;530728;543295;543295;553195;553195;91
Le Méridien La Ferrière;Gros Noyer Saint-Prix;87276592;95120;B;1634111;1634111;1480690;1480690;767868;767868;1720304;1720304;1747157;1747157;1739184;1739184;1713626;1713626;1680959;1680959;95
Le Merlerault;Houdan;87393462;78550;B;607515;607515;577175;577175;366492;366492;809939;809939;878035;878035;959657;959657;996756;996756;1026284;1026284;78
Le Perray-en-Yvelines;Ivry-sur-Seine;87545301;94200;B;4107947;4107947;2718878;2718878;2174567;2174567;4974218;4974218;4987697;4987697;5034584;5034584;4976350;4976350;4899522;4899522;94
Le Val d'Or;La Frette - Montigny;87381871;95530;B;957431;957431;877452;877452;412039;412039;863960;863960;875843;875843;890871;890871;888918;888918;894694;894694;95
Le Vert de Maisons;Le Blanc-Mesnil;87271478;93150;B;3347231;3347231;3044176;3044176;2040928;2040928;4052899;4052899;4006261;4006261;3953284;3953284;3823291;3823291;3698307;3698307;93
Lépin-le-Lac - La Bauche;Les Clairières de Verneuil;87386664;78480;B;459575;459575;368213;368213;194818;194818;375772;375772;385612;385612;398401;398401;402805;402805;405538;405538;78
Les Bossons;Les Mureaux;87386680;78130;B;4588884;4588884;3678520;3678520;1739778;1739778;4212499;4212499;4169211;4169211;4152039;4152039;4054618;4054618;3943190;3943190;78
Les Grésillons;L'Étang-la-Ville - Les Sablons;87726109;78620;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78
Les Houches;Limay;87381582;78520;B;810884;810884;756757;756757;359551;359551;671707;671707;630158;630158;592489;592489;544316;544316;532193;532193;78
Les Moussoux;Luzenac - Garanou;87611558;9250;C;11181;11181;8402;8402;5151;5151;9222;9222;8507;8507;10892;10892;9797;9797;9369;9369;92
Les Noues;Lycée Henri Sellier;87988717;93190;B;1648127;1648127;1320614;1320614;1621273;1621273;1335610;1335610;1332694;1332694;1338409;1338409;1316397;1316397;1288152;1288152;93
Les Quatre Roues;Magenta;87281873;75010;B;33045860;33045860;27478179;27478179;13462720;13462720;43016926;43016926;44197645;44197645;45366168;45366168;45730527;45730527;45905097;45905097;75
Les Tines;Maisons-Alfort - Alfortville;87681155;94700;B;11252775;11252775;9556579;9556579;5704366;5704366;13624825;13624825;13921116;13921116;14180872;14180872;14204397;14204397;14171754;14171754;94
Les Trillers;Maisse;87681486;91720;B;137968;137968;179356;179356;84596;84596;167203;167203;180378;180378;195208;195208;207032;207032;219092;219092;91
Les Vallées;Mareil-Marly;87382812;78750;C;0;0;0;0;0;0;53506;53506;58655;58655;64132;64132;69257;69257;74243;74243;78
L'Hermitage - Mordelles;Marly-le-Roi;87382465;78160;B;1881402;1881402;1725946;1725946;989390;989390;1978907;1978907;2099153;2099153;2242841;2242841;2347923;2347923;2262911;2262911;78
L'Hôpital-du-Grosbois;Massy TGV;87393702;91300;A;2589355;4278065;1789137;2955965;1371156;2265388;2214961;3659500;2397978;3961877;3049726;5038677;1984315;3278434;1695281;2800899;91
