Nom de la gare;Nom de la gare;Code UIC;Code postal;Segmentation DRG;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015;Code Postal
Ax-les-Thermes;La Grande-Paroisse;87682476;77130;C;54790;54790;40100;40100;32594;32594;66342;66342;66702;66702;65992;65992;64845;64845;63652;63652;77
Bagnac-sur-Célé;Lardy;87545160;91510;B;351191;351191;332153;332153;205073;205073;425172;425172;432949;432949;444831;444831;446652;446652;447043;447043;91
Bailleul;Le Perray-en-Yvelines;87393298;78610;B;591206;591206;514506;514506;354142;354142;715156;715156;733118;733118;754939;754939;761212;761212;764750;764750;78
Bailleul-Sir-Berthoult;Le Val d'Or;87382366;92210;B;1848826;1848826;1548040;1548040;788261;788261;1722096;1722096;1695453;1695453;1675790;1675790;1629247;1629247;1324800;1324800;92
Bains-les-Bains;Le Vert de Maisons;87681247;94700;B;2529584;2529584;2027532;2027532;969205;969205;3062538;3062538;3158156;3158156;3254355;3254355;3293224;3293224;3318507;3318507;94
Ballancourt-sur-Essonne;Les Grésillons;87272146;92230;B;2274636;2274636;1536083;1536083;1229850;1229850;2754273;2754273;2688760;2688760;2643726;2643726;2550407;2550407;2446842;2446842;92
Ballersdorf;Les Noues;87276238;95190;B;1205683;1205683;1272141;1272141;773295;773295;1461270;1461270;1539584;1539584;1618916;1618916;1674500;1674500;1724995;1724995;95
Baraqueville Carcenac Peyralès;Les Vallées;87386300;92250;B;5077252;5077252;4068322;4068322;2124124;2124124;4283672;4283672;4280459;4280459;4265730;4265730;4185281;4185281;4079450;4079450;92
Baroncourt;Longueville;87116137;77650;B;680603;680603;660085;660085;368201;368201;824175;824175;816896;816896;818352;818352;800623;800623;780859;780859;77
Base Aérienne;Louveciennes;87382457;78430;B;977571;977571;827992;827992;478388;478388;1015247;1015247;1001155;1001155;993261;993261;965641;965641;949312;949312;78
